id,S0,K,T,r,market_price,type,iv,volume,expire_date
1,4.713,4.0,0.082192,0.02,0.7268,call,0.1786,5291,2026-09-05
2,4.713,4.14,0.082192,0.02,0.5834,call,0.1901,8422,2026-09-05
3,4.713,4.29,0.082192,0.02,0.4289,call,0.1753,4655,2026-09-05
4,4.713,4.43,0.082192,0.02,0.2994,call,0.1788,2847,2026-09-05
5,4.713,4.52,0.082192,0.02,0.2245,call,0.1811,3990,2026-09-05
6,4.713,4.62,0.082192,0.02,0.1545,call,0.1694,8326,2026-09-05
7,4.713,4.71,0.082192,0.02,0.0995,call,0.1765,3943,2026-09-05
8,4.713,4.8,0.082192,0.02,0.062,call,0.1642,8629,2026-09-05
9,4.713,4.9,0.082192,0.02,0.0333,call,0.1813,2162,2026-09-05
10,4.713,4.99,0.082192,0.02,0.0177,call,0.1769,6378,2026-09-05
11,4.713,5.13,0.082192,0.02,0.01,call,0.1923,2831,2026-09-05
12,4.713,5.28,0.082192,0.02,0.01,call,0.1874,602,2026-09-05
13,4.713,5.42,0.082192,0.02,0.01,call,0.1896,5216,2026-09-05
14,4.713,4.0,0.082192,0.02,0.01,put,0.2014,4526,2026-09-05
15,4.713,4.14,0.082192,0.02,0.01,put,0.1784,7049,2026-09-05
16,4.713,4.29,0.082192,0.02,0.01,put,0.1895,8766,2026-09-05
17,4.713,4.43,0.082192,0.02,0.0124,put,0.1723,1999,2026-09-05
18,4.713,4.52,0.082192,0.02,0.0262,put,0.1895,2712,2026-09-05
19,4.713,4.62,0.082192,0.02,0.0527,put,0.1759,7655,2026-09-05
20,4.713,4.71,0.082192,0.02,0.0876,put,0.1696,1095,2026-09-05
21,4.713,4.8,0.082192,0.02,0.1411,put,0.1906,4959,2026-09-05
22,4.713,4.9,0.082192,0.02,0.2155,put,0.1889,5992,2026-09-05
23,4.713,4.99,0.082192,0.02,0.2782,put,0.191,7315,2026-09-05
24,4.713,5.13,0.082192,0.02,0.4137,put,0.19,8210,2026-09-05
25,4.713,5.28,0.082192,0.02,0.5528,put,0.1833,7135,2026-09-05
26,4.713,5.42,0.082192,0.02,0.6875,put,0.1842,6474,2026-09-05
27,4.713,4.0,0.164384,0.02,0.7158,call,0.1874,3257,2026-10-05
28,4.713,4.14,0.164384,0.02,0.5921,call,0.1897,9821,2026-10-05
29,4.713,4.29,0.164384,0.02,0.4474,call,0.1654,5964,2026-10-05
30,4.713,4.43,0.164384,0.02,0.3241,call,0.1891,763,2026-10-05
31,4.713,4.52,0.164384,0.02,0.2594,call,0.1785,6685,2026-10-05
32,4.713,4.62,0.164384,0.02,0.1967,call,0.2046,954,2026-10-05
33,4.713,4.71,0.164384,0.02,0.1473,call,0.1799,5635,2026-10-05
34,4.713,4.8,0.164384,0.02,0.1085,call,0.166,297,2026-10-05
35,4.713,4.9,0.164384,0.02,0.0691,call,0.1743,759,2026-10-05
36,4.713,4.99,0.164384,0.02,0.0478,call,0.1709,5859,2026-10-05
37,4.713,5.13,0.164384,0.02,0.0233,call,0.1874,6387,2026-10-05
38,4.713,5.28,0.164384,0.02,0.0104,call,0.1878,7500,2026-10-05
39,4.713,5.42,0.164384,0.02,0.01,call,0.191,8545,2026-10-05
40,4.713,4.0,0.164384,0.02,0.01,put,0.1833,3727,2026-10-05
41,4.713,4.14,0.164384,0.02,0.01,put,0.1867,7492,2026-10-05
42,4.713,4.29,0.164384,0.02,0.0139,put,0.1777,4513,2026-10-05
43,4.713,4.43,0.164384,0.02,0.0335,put,0.1743,1595,2026-10-05
44,4.713,4.52,0.164384,0.02,0.055,put,0.1633,7380,2026-10-05
45,4.713,4.62,0.164384,0.02,0.0905,put,0.1657,5349,2026-10-05
46,4.713,4.71,0.164384,0.02,0.1273,put,0.1731,9058,2026-10-05
47,4.713,4.8,0.164384,0.02,0.1736,put,0.1808,8900,2026-10-05
48,4.713,4.9,0.164384,0.02,0.234,put,0.1807,3011,2026-10-05
49,4.713,4.99,0.164384,0.02,0.3031,put,0.1768,5634,2026-10-05
50,4.713,5.13,0.164384,0.02,0.424,put,0.1838,2149,2026-10-05
51,4.713,5.28,0.164384,0.02,0.5659,put,0.183,6395,2026-10-05
52,4.713,5.42,0.164384,0.02,0.7015,put,0.1784,2300,2026-10-05
53,4.713,4.0,0.246575,0.02,0.7225,call,0.1691,2969,2026-11-04
54,4.713,4.14,0.246575,0.02,0.6152,call,0.1896,4835,2026-11-04
55,4.713,4.29,0.246575,0.02,0.4795,call,0.1776,3454,2026-11-04
56,4.713,4.43,0.246575,0.02,0.3557,call,0.185,9107,2026-11-04
57,4.713,4.52,0.246575,0.02,0.2936,call,0.1819,1169,2026-11-04
58,4.713,4.62,0.246575,0.02,0.233,call,0.1606,706,2026-11-04
59,4.713,4.71,0.246575,0.02,0.1793,call,0.1886,8419,2026-11-04
60,4.713,4.8,0.246575,0.02,0.1369,call,0.1815,7555,2026-11-04
61,4.713,4.9,0.246575,0.02,0.1039,call,0.1905,7443,2026-11-04
62,4.713,4.99,0.246575,0.02,0.0737,call,0.182,3050,2026-11-04
63,4.713,5.13,0.246575,0.02,0.0447,call,0.1818,6714,2026-11-04
64,4.713,5.28,0.246575,0.02,0.0242,call,0.1814,4877,2026-11-04
65,4.713,5.42,0.246575,0.02,0.0129,call,0.1852,4969,2026-11-04
66,4.713,4.0,0.246575,0.02,0.01,put,0.1797,9819,2026-11-04
67,4.713,4.14,0.246575,0.02,0.0115,put,0.2106,3546,2026-11-04
68,4.713,4.29,0.246575,0.02,0.0271,put,0.1945,7122,2026-11-04
69,4.713,4.43,0.246575,0.02,0.0552,put,0.184,7779,2026-11-04
70,4.713,4.52,0.246575,0.02,0.079,put,0.1851,1160,2026-11-04
71,4.713,4.62,0.246575,0.02,0.1134,put,0.1878,1080,2026-11-04
72,4.713,4.71,0.246575,0.02,0.157,put,0.1809,669,2026-11-04
73,4.713,4.8,0.246575,0.02,0.207,put,0.1805,884,2026-11-04
74,4.713,4.9,0.246575,0.02,0.2693,put,0.174,6086,2026-11-04
75,4.713,4.99,0.246575,0.02,0.3195,put,0.1849,6755,2026-11-04
76,4.713,5.13,0.246575,0.02,0.4227,put,0.2,953,2026-11-04
77,4.713,5.28,0.246575,0.02,0.5427,put,0.1843,3224,2026-11-04
78,4.713,5.42,0.246575,0.02,0.6881,put,0.1671,7066,2026-11-04
