type,strike,bid,ask,mid,last,volume,open_interest,T,T_days,S0,r,expiry,expiry_label,spread,spread_pct,liquidity
call,4.2,0.4924,0.4948,0.49360000000000004,0.4958,3,660,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0024000000000000132,0.004862236628849297,good
call,4.3,0.3954,0.3983,0.39685,0.3955,476,2061,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0029000000000000137,0.007307546932090245,good
call,4.4,0.3013,0.3035,0.3024,0.3002,24,4549,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0021999999999999797,0.007275132275132208,good
call,4.5,0.2136,0.2142,0.2139,0.2139,16,12313,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0005999999999999894,0.0028050490883589968,good
call,4.6,0.1369,0.1372,0.13705,0.1375,2,38069,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0002999999999999947,0.002188982123312621,good
call,4.7,0.0778,0.078,0.0779,0.0781,19,56960,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00020000000000000573,0.002567394094993655,good
call,4.8,0.039,0.0393,0.039150000000000004,0.0392,30,72254,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00030000000000000165,0.007662835249042187,good
call,4.9,0.0179,0.0181,0.018000000000000002,0.018,10,60991,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00020000000000000226,0.011111111111111235,good
call,5.0,0.0085,0.0086,0.00855,0.0085,74,51211,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),9.99999999999994e-05,0.011695906432748466,good
call,5.25,0.0022,0.0023,0.0022500000000000003,0.0022,62,33139,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),9.999999999999983e-05,0.04444444444444436,good
call,5.5,0.0016,0.0017,0.00165,0.0016,214,10787,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),9.999999999999983e-05,0.060606060606060504,good
call,5.75,0.0007,0.0008,0.00075,0.0007,75,10621,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00010000000000000005,0.1333333333333334,good
call,6.0,0.0005,0.0006,0.0005499999999999999,0.0005,0,5911,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),9.999999999999994e-05,0.18181818181818174,low
put,4.2,0.0032,0.0034,0.0033,0.0032,88,19469,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00019999999999999966,0.060606060606060504,good
put,4.3,0.0065,0.0066,0.00655,0.0065,3,22729,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00010000000000000026,0.015267175572519123,good
put,4.4,0.0118,0.012,0.0119,0.012,12,24066,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00020000000000000052,0.016806722689075675,good
put,4.5,0.0235,0.0238,0.02365,0.0239,105,31894,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00030000000000000165,0.012684989429175545,good
put,4.6,0.0466,0.0467,0.04665,0.0467,36,51177,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),9.999999999999593e-05,0.0021436227224007703,good
put,4.7,0.0875,0.0877,0.0876,0.0872,20,52673,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.00020000000000000573,0.0022831050228311156,good
put,4.8,0.1479,0.1486,0.14825,0.148,10,32171,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0007000000000000062,0.004721753794266484,good
put,4.9,0.2262,0.2278,0.227,0.2297,30,10810,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0015999999999999903,0.007048458149779693,good
put,5.0,0.3167,0.3179,0.3173,0.3183,22,6789,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0012000000000000344,0.003781909864481671,good
put,5.25,0.5587,0.5616,0.5601499999999999,0.5618,31,2121,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0029000000000000137,0.005177184682674309,good
put,5.5,0.808,0.811,0.8095000000000001,0.7956,21,728,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0030000000000000027,0.0037059913526868464,good
put,5.75,1.0577,1.0611,1.0594000000000001,1.0451,1,1971,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0033999999999998476,0.003209363790824851,good
put,6.0,1.3075,1.311,1.30925,1.2956,1,3940,0.0547945205479452,20,4.693,0.02,2026-08-26,近月(20天),0.0034999999999998366,0.002673286232575777,good
call,4.0,0.65,0.7077,0.67885,0.6711,2,1503,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.057699999999999974,0.08499668557118653,good
call,4.1,0.5666,0.6499,0.60825,0.5888,1,373,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.08330000000000004,0.13695026715988498,low
call,4.2,0.47,0.5088,0.4894,0.4991,3,2511,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.03880000000000006,0.07928075194115254,good
call,4.3,0.39,0.43,0.41000000000000003,0.4,1,1937,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.03999999999999998,0.09756097560975605,good
call,4.4,0.2985,0.34,0.31925000000000003,0.3076,1,3042,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.04150000000000004,0.12999216914643708,good
call,4.5,0.23,0.2388,0.2344,0.231,1,4771,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.008800000000000002,0.037542662116040966,good
call,4.6,0.1661,0.1766,0.17135,0.1652,3,7638,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.01050000000000001,0.06127808578932016,good
call,4.7,0.1148,0.122,0.1184,0.1178,2,13345,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.007199999999999998,0.06081081081081079,good
call,4.8,0.0779,0.0785,0.07819999999999999,0.0777,6,18026,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0006000000000000033,0.007672634271099787,good
call,4.9,0.0493,0.054,0.05165,0.0512,3,26078,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.004700000000000003,0.09099709583736694,good
call,5.0,0.031,0.0348,0.0329,0.0319,56,41641,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.003799999999999998,0.11550151975683884,good
call,5.25,0.0115,0.0129,0.012199999999999999,0.0117,1,36535,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0014000000000000002,0.11475409836065577,good
call,5.5,0.005,0.0066,0.0058,0.0058,13,20411,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0015999999999999999,0.27586206896551724,low
call,5.75,0.0043,0.0044,0.00435,0.0043,95,24790,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.00010000000000000026,0.0229885057471265,good
call,6.0,0.0037,0.0048,0.00425,0.0037,19,36420,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0010999999999999994,0.25882352941176456,low
put,4.0,0.0057,0.0061,0.005900000000000001,0.0058,10,33575,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0004000000000000002,0.06779661016949155,good
put,4.1,0.009,0.0094,0.0092,0.0091,1,30332,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.00040000000000000105,0.043478260869565334,good
put,4.2,0.0138,0.0151,0.014450000000000001,0.0149,55,19298,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0013000000000000008,0.08996539792387548,good
put,4.3,0.0228,0.025,0.0239,0.0245,13,21727,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0022000000000000006,0.09205020920502094,good
put,4.4,0.0377,0.0401,0.0389,0.037,1,15942,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0023999999999999994,0.06169665809768636,good
put,4.5,0.0595,0.0628,0.061149999999999996,0.0617,1,17593,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.0032999999999999974,0.053965658217497915,good
put,4.6,0.0945,0.0999,0.09720000000000001,0.0967,1,14686,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.005400000000000002,0.05555555555555557,good
put,4.7,0.138,0.148,0.14300000000000002,0.1452,3,11587,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.009999999999999981,0.0699300699300698,good
put,4.8,0.2009,0.2056,0.20325,0.2068,10,7492,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.00470000000000001,0.023124231242312474,good
put,4.9,0.2585,0.2836,0.27105,0.2816,1,6573,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.02510000000000001,0.09260284080427969,good
put,5.0,0.3031,0.37,0.33655,0.3591,10,9339,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.06690000000000002,0.1987817560540782,low
put,5.25,0.5001,0.8195,0.6597999999999999,0.5599,10,7442,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.3194,0.48408608669293735,low
put,5.5,0.5932,1.0645,0.82885,0.8322,10,4954,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.47130000000000005,0.5686191711407372,low
put,5.75,0.8408,1.3121,1.07645,1.0683,10,1112,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.47130000000000005,0.4378280458915882,low
put,6.0,1.2888,1.561,1.4249,1.3111,1,1190,0.13150684931506848,48,4.693,0.02,2026-09-23,远月(53天),0.2722,0.1910309495403186,low
