type,strike,bid,ask,mid,last,volume,open_interest,T,T_days,S0,r,expiry,spread,spread_pct,liquidity
call,4.2,0.4924,0.4948,0.4936,0.4958,3,660,0.054795,20,4.693,0.02,2026-08-26,0.0024000000000000132,0.004862236628849298,good
call,4.3,0.3954,0.3983,0.3968,0.3955,476,2061,0.054795,20,4.693,0.02,2026-08-26,0.0029000000000000137,0.007308467741935519,good
call,4.4,0.3013,0.3035,0.3024,0.3002,24,4549,0.054795,20,4.693,0.02,2026-08-26,0.0021999999999999797,0.007275132275132208,good
call,4.5,0.2136,0.2142,0.2139,0.2139,16,12313,0.054795,20,4.693,0.02,2026-08-26,0.0005999999999999894,0.0028050490883589968,good
call,4.6,0.1369,0.1372,0.1371,0.1375,2,38069,0.054795,20,4.693,0.02,2026-08-26,0.0002999999999999947,0.0021881838074397863,good
call,4.7,0.0778,0.078,0.0779,0.0781,19,56960,0.054795,20,4.693,0.02,2026-08-26,0.00020000000000000573,0.002567394094993655,good
call,4.8,0.039,0.0393,0.0392,0.0392,30,72254,0.054795,20,4.693,0.02,2026-08-26,0.00030000000000000165,0.007653061224489838,good
call,4.9,0.0179,0.0181,0.018,0.0181,27,60991,0.054795,20,4.693,0.02,2026-08-26,0.00020000000000000226,0.011111111111111238,good
call,5.0,0.0085,0.0086,0.0086,0.0085,10,51221,0.054795,20,4.693,0.02,2026-08-26,9.99999999999994e-05,0.011627906976744116,good
call,5.25,0.0022,0.0023,0.0023,0.0022,74,33139,0.054795,20,4.693,0.02,2026-08-26,9.999999999999983e-05,0.04347826086956515,good
call,5.5,0.0016,0.0017,0.0016,0.0016,62,19470,0.054795,20,4.693,0.02,2026-08-26,9.999999999999983e-05,0.06249999999999989,good
call,5.75,0.0011,0.0012,0.0011,0.0011,214,10787,0.054795,20,4.693,0.02,2026-08-26,9.999999999999983e-05,0.09090909090909075,good
call,6.0,0.0007,0.0008,0.0008,0.0007,75,10621,0.054795,20,4.693,0.02,2026-08-26,0.00010000000000000005,0.12500000000000006,good
put,4.2,0.0032,0.0034,0.0033,0.0032,88,19469,0.054795,20,4.693,0.02,2026-08-26,0.00019999999999999966,0.060606060606060504,good
put,4.3,0.0065,0.0066,0.0066,0.0065,3,22729,0.054795,20,4.693,0.02,2026-08-26,0.00010000000000000026,0.015151515151515192,good
put,4.4,0.0118,0.012,0.0119,0.012,12,24066,0.054795,20,4.693,0.02,2026-08-26,0.00020000000000000052,0.016806722689075675,good
put,4.5,0.0235,0.0238,0.0237,0.0239,105,31894,0.054795,20,4.693,0.02,2026-08-26,0.00030000000000000165,0.012658227848101337,good
put,4.6,0.0466,0.0467,0.0466,0.0467,36,51177,0.054795,20,4.693,0.02,2026-08-26,9.999999999999593e-05,0.0021459227467810283,good
put,4.7,0.0875,0.0877,0.0876,0.0872,20,52673,0.054795,20,4.693,0.02,2026-08-26,0.00020000000000000573,0.0022831050228311156,good
put,4.8,0.1479,0.1486,0.1482,0.148,10,32171,0.054795,20,4.693,0.02,2026-08-26,0.0007000000000000062,0.0047233468286100285,good
put,4.9,0.2262,0.2278,0.227,0.2297,30,10810,0.054795,20,4.693,0.02,2026-08-26,0.0015999999999999903,0.007048458149779693,good
put,5.0,0.3167,0.3179,0.3173,0.3183,22,6789,0.054795,20,4.693,0.02,2026-08-26,0.0012000000000000344,0.003781909864481671,good
put,5.25,0.5587,0.5616,0.5601,0.5618,31,2121,0.054795,20,4.693,0.02,2026-08-26,0.0029000000000000137,0.005177646848777028,good
put,5.5,0.808,0.811,0.8095,0.7956,21,728,0.054795,20,4.693,0.02,2026-08-26,0.0030000000000000027,0.0037059913526868472,good
put,5.75,1.0577,1.0611,1.0594,1.0451,1,1971,0.054795,20,4.693,0.02,2026-08-26,0.0033999999999998476,0.0032093637908248516,good
put,6.0,1.3075,1.311,1.3093,1.2956,1,3940,0.054795,20,4.693,0.02,2026-08-26,0.0034999999999998366,0.0026731841441990658,good
