id,S0,K,T,r,market_price,type,iv,volume,expire_date
1,4.695,4.0,0.082192,0.02,0.7086,call,0.1786,5291,2026-09-05
2,4.695,4.14,0.082192,0.02,0.5654,call,0.1901,8422,2026-09-05
3,4.695,4.28,0.082192,0.02,0.4212,call,0.1753,4655,2026-09-05
4,4.695,4.42,0.082192,0.02,0.2923,call,0.1788,2847,2026-09-05
5,4.695,4.51,0.082192,0.02,0.218,call,0.1811,3990,2026-09-05
6,4.695,4.61,0.082192,0.02,0.149,call,0.1694,8326,2026-09-05
7,4.695,4.7,0.082192,0.02,0.0953,call,0.1765,3943,2026-09-05
8,4.695,4.79,0.082192,0.02,0.0589,call,0.1642,8629,2026-09-05
9,4.695,4.89,0.082192,0.02,0.0313,call,0.1813,2162,2026-09-05
10,4.695,4.98,0.082192,0.02,0.0165,call,0.1769,6378,2026-09-05
11,4.695,5.12,0.082192,0.02,0.01,call,0.1923,2831,2026-09-05
12,4.695,5.26,0.082192,0.02,0.01,call,0.1874,602,2026-09-05
13,4.695,5.4,0.082192,0.02,0.01,call,0.1896,5216,2026-09-05
14,4.695,4.0,0.082192,0.02,0.01,put,0.2014,4526,2026-09-05
15,4.695,4.14,0.082192,0.02,0.01,put,0.1784,7049,2026-09-05
16,4.695,4.28,0.082192,0.02,0.01,put,0.1895,8766,2026-09-05
17,4.695,4.42,0.082192,0.02,0.0132,put,0.1723,1999,2026-09-05
18,4.695,4.51,0.082192,0.02,0.0276,put,0.1895,2712,2026-09-05
19,4.695,4.61,0.082192,0.02,0.0551,put,0.1759,7655,2026-09-05
20,4.695,4.7,0.082192,0.02,0.0911,put,0.1696,1095,2026-09-05
21,4.695,4.79,0.082192,0.02,0.1459,put,0.1906,4959,2026-09-05
22,4.695,4.89,0.082192,0.02,0.2215,put,0.1889,5992,2026-09-05
23,4.695,4.98,0.082192,0.02,0.2847,put,0.191,7315,2026-09-05
24,4.695,5.12,0.082192,0.02,0.4212,put,0.19,8210,2026-09-05
25,4.695,5.26,0.082192,0.02,0.5509,put,0.1833,7135,2026-09-05
26,4.695,5.4,0.082192,0.02,0.6855,put,0.1842,6474,2026-09-05
27,4.695,4.0,0.164384,0.02,0.6983,call,0.1874,3257,2026-10-05
28,4.695,4.14,0.164384,0.02,0.5747,call,0.1897,9821,2026-10-05
29,4.695,4.28,0.164384,0.02,0.44,call,0.1654,5964,2026-10-05
30,4.695,4.42,0.164384,0.02,0.3174,call,0.1891,763,2026-10-05
31,4.695,4.51,0.164384,0.02,0.2533,call,0.1785,6685,2026-10-05
32,4.695,4.61,0.164384,0.02,0.1914,call,0.2046,954,2026-10-05
33,4.695,4.7,0.164384,0.02,0.1428,call,0.1799,5635,2026-10-05
34,4.695,4.79,0.164384,0.02,0.1046,call,0.166,297,2026-10-05
35,4.695,4.89,0.164384,0.02,0.0663,call,0.1743,759,2026-10-05
36,4.695,4.98,0.164384,0.02,0.0457,call,0.1709,5859,2026-10-05
37,4.695,5.12,0.164384,0.02,0.0221,call,0.1874,6387,2026-10-05
38,4.695,5.26,0.164384,0.02,0.0104,call,0.1878,7500,2026-10-05
39,4.695,5.4,0.164384,0.02,0.01,call,0.191,8545,2026-10-05
40,4.695,4.0,0.164384,0.02,0.01,put,0.1833,3727,2026-10-05
41,4.695,4.14,0.164384,0.02,0.01,put,0.1867,7492,2026-10-05
42,4.695,4.28,0.164384,0.02,0.0145,put,0.1777,4513,2026-10-05
43,4.695,4.42,0.164384,0.02,0.0347,put,0.1743,1595,2026-10-05
44,4.695,4.51,0.164384,0.02,0.0569,put,0.1633,7380,2026-10-05
45,4.695,4.61,0.164384,0.02,0.0932,put,0.1657,5349,2026-10-05
46,4.695,4.7,0.164384,0.02,0.1308,put,0.1731,9058,2026-10-05
47,4.695,4.79,0.164384,0.02,0.1779,put,0.1808,8900,2026-10-05
48,4.695,4.89,0.164384,0.02,0.239,put,0.1807,3011,2026-10-05
49,4.695,4.98,0.164384,0.02,0.3089,put,0.1768,5634,2026-10-05
50,4.695,5.12,0.164384,0.02,0.4308,put,0.1838,2149,2026-10-05
51,4.695,5.26,0.164384,0.02,0.5639,put,0.183,6395,2026-10-05
52,4.695,5.4,0.164384,0.02,0.6995,put,0.1784,2300,2026-10-05
53,4.695,4.0,0.246575,0.02,0.7054,call,0.1691,2969,2026-11-04
54,4.695,4.14,0.246575,0.02,0.5981,call,0.1896,4835,2026-11-04
55,4.695,4.28,0.246575,0.02,0.4721,call,0.1776,3454,2026-11-04
56,4.695,4.42,0.246575,0.02,0.3492,call,0.185,9107,2026-11-04
57,4.695,4.51,0.246575,0.02,0.2876,call,0.1819,1169,2026-11-04
58,4.695,4.61,0.246575,0.02,0.2275,call,0.1606,706,2026-11-04
59,4.695,4.7,0.246575,0.02,0.1747,call,0.1886,8419,2026-11-04
60,4.695,4.79,0.246575,0.02,0.1329,call,0.1815,7555,2026-11-04
61,4.695,4.89,0.246575,0.02,0.1005,call,0.1905,7443,2026-11-04
62,4.695,4.98,0.246575,0.02,0.0711,call,0.182,3050,2026-11-04
63,4.695,5.12,0.246575,0.02,0.0429,call,0.1818,6714,2026-11-04
64,4.695,5.26,0.246575,0.02,0.0241,call,0.1814,4877,2026-11-04
65,4.695,5.4,0.246575,0.02,0.0128,call,0.1852,4969,2026-11-04
66,4.695,4.0,0.246575,0.02,0.01,put,0.1797,9819,2026-11-04
67,4.695,4.14,0.246575,0.02,0.0127,put,0.2106,3546,2026-11-04
68,4.695,4.28,0.246575,0.02,0.0279,put,0.1945,7122,2026-11-04
69,4.695,4.42,0.246575,0.02,0.0567,put,0.184,7779,2026-11-04
70,4.695,4.51,0.246575,0.02,0.081,put,0.1851,1160,2026-11-04
71,4.695,4.61,0.246575,0.02,0.1161,put,0.1878,1080,2026-11-04
72,4.695,4.7,0.246575,0.02,0.1604,put,0.1809,669,2026-11-04
73,4.695,4.79,0.246575,0.02,0.2111,put,0.1805,884,2026-11-04
74,4.695,4.89,0.246575,0.02,0.2742,put,0.174,6086,2026-11-04
75,4.695,4.98,0.246575,0.02,0.3248,put,0.1849,6755,2026-11-04
76,4.695,5.12,0.246575,0.02,0.4287,put,0.2,953,2026-11-04
77,4.695,5.26,0.246575,0.02,0.5407,put,0.1843,3224,2026-11-04
78,4.695,5.4,0.246575,0.02,0.6861,put,0.1671,7066,2026-11-04
