type,K,price,T,S0,r
call,4.2,0.4936,0.054795,4.693,0.02
call,4.3,0.3968,0.054795,4.693,0.02
call,4.4,0.3024,0.054795,4.693,0.02
call,4.5,0.2139,0.054795,4.693,0.02
call,4.6,0.1371,0.054795,4.693,0.02
call,4.7,0.0779,0.054795,4.693,0.02
call,4.8,0.0392,0.054795,4.693,0.02
call,4.9,0.018,0.054795,4.693,0.02
call,5.0,0.0086,0.054795,4.693,0.02
call,5.25,0.0023,0.054795,4.693,0.02
call,5.5,0.0016,0.054795,4.693,0.02
call,5.75,0.0011,0.054795,4.693,0.02
call,6.0,0.0008,0.054795,4.693,0.02
put,4.2,0.0033,0.054795,4.693,0.02
put,4.3,0.0066,0.054795,4.693,0.02
put,4.4,0.0119,0.054795,4.693,0.02
put,4.5,0.0237,0.054795,4.693,0.02
put,4.6,0.0466,0.054795,4.693,0.02
put,4.7,0.0876,0.054795,4.693,0.02
put,4.8,0.1482,0.054795,4.693,0.02
put,4.9,0.227,0.054795,4.693,0.02
put,5.0,0.3173,0.054795,4.693,0.02
put,5.25,0.5601,0.054795,4.693,0.02
put,5.5,0.8095,0.054795,4.693,0.02
put,5.75,1.0594,0.054795,4.693,0.02
put,6.0,1.3093,0.054795,4.693,0.02
