date,open,close,high,low,volume,amount
2024-01-02,3.222,3.173,3.222,3.171,9429306,3269676679.0
2024-01-03,3.166,3.163,3.18,3.148,10617503,3654757871.0
2024-01-04,3.162,3.133,3.162,3.107,16661525,5674869534.0
2024-01-05,3.124,3.116,3.159,3.097,16996697,5796964474.0
2024-01-08,3.109,3.069,3.123,3.066,17304244,5816612453.0
2024-01-09,3.071,3.077,3.091,3.059,11312178,3794394933.0
2024-01-10,3.07,3.061,3.101,3.052,9582541,3211385597.0
2024-01-11,3.061,3.08,3.1,3.054,12662372,4254642486.0
2024-01-12,3.071,3.069,3.097,3.066,8413273,2826380699.0
2024-01-15,3.05,3.065,3.095,3.044,9055706,3030920178.0
2024-01-16,3.06,3.087,3.088,3.046,17689524,5925099758.0
2024-01-17,3.077,3.012,3.077,3.01,12862152,4278633103.0
2024-01-18,3.007,3.057,3.064,2.955,47543511,15257021704.0
2024-01-19,3.038,3.064,3.074,3.031,36944521,12079016731.0
2024-01-22,3.054,2.995,3.064,2.982,46470565,15113081733.0
2024-01-23,2.988,3.017,3.036,2.975,13924804,4481443569.0
2024-01-24,3.028,3.068,3.069,2.977,22789369,7373901841.0
2024-01-25,3.059,3.124,3.129,3.05,16487014,5449682868.0
2024-01-26,3.117,3.118,3.139,3.101,21833051,7273329362.0
2024-01-29,3.12,3.088,3.134,3.087,10113930,3358335864.0
2024-01-30,3.07,3.032,3.087,3.03,18892623,6186331951.0
2024-01-31,3.022,3.011,3.038,2.986,19090997,6157214385.0
2024-02-01,2.989,3.007,3.037,2.979,18909976,6091552415.0
2024-02-02,3.007,2.977,3.021,2.891,25386942,8074716502.0
2024-02-05,2.947,2.997,3.023,2.9,26601787,8439536816.0
2024-02-06,2.974,3.1,3.103,2.971,20089182,6562526022.0
2024-02-07,3.099,3.129,3.131,3.076,34658147,11514587248.0
2024-02-08,3.141,3.151,3.155,3.122,23942620,8019665628.0
2024-02-19,3.163,3.178,3.181,3.144,14861876,5016056179.0
2024-02-20,3.172,3.19,3.194,3.161,9801668,3322077448.0
2024-02-21,3.177,3.238,3.285,3.171,16009581,5528334980.0
2024-02-22,3.236,3.264,3.266,3.23,9446351,3270537309.0
2024-02-23,3.264,3.267,3.286,3.253,10908774,3794512188.0
2024-02-26,3.265,3.232,3.271,3.226,11172368,3865703825.0
2024-02-27,3.224,3.273,3.275,3.222,10468849,3620336718.0
2024-02-28,3.276,3.237,3.303,3.235,28549979,9926190298.0
2024-02-29,3.229,3.292,3.296,3.226,14835850,5163736038.0
2024-03-01,3.29,3.319,3.329,3.284,12256393,4311480716.0
2024-03-04,3.315,3.316,3.326,3.297,10146550,3576642516.0
2024-03-05,3.304,3.345,3.355,3.297,27991019,9924986737.0
2024-03-06,3.34,3.331,3.361,3.327,12995274,4612496593.0
2024-03-07,3.33,3.312,3.349,3.304,10589480,3740550493.0
2024-03-08,3.314,3.322,3.329,3.293,8621877,3038389403.0
