type,strike,bid,ask,mid,last,volume,open_interest,T,T_days,S0,r,expiry,spread,spread_pct,liquidity,K,V_market,V_model,mispricing,mispricing_pct,abs_mispricing
put,6.0,1.3075,1.311,1.3093,1.2956,1,3940,0.054795,20,4.693,0.02,2026-08-26,0.0034999999999998,0.002673184144199,good,6.0,1.3093,1.3004282024447988,0.008871797555201066,0.6775985301459609,0.008871797555201066
put,5.75,1.0577,1.0611,1.0594,1.0451,1,1971,0.054795,20,4.693,0.02,2026-08-26,0.0033999999999998,0.0032093637908248,good,5.75,1.0594,1.0507021566561674,0.008697843343832501,0.8210159848813009,0.008697843343832501
put,5.5,0.808,0.811,0.8095,0.7956,21,728,0.054795,20,4.693,0.02,2026-08-26,0.003,0.0037059913526868,good,5.5,0.8095,0.8009869681904389,0.008513031809561089,1.051640742379381,0.008513031809561089
put,5.25,0.5587,0.5616,0.5601,0.5618,31,2121,0.054795,20,4.693,0.02,2026-08-26,0.0029,0.005177646848777,good,5.25,0.5601,0.5516957882664162,0.008404211733583855,1.5004841516843161,0.008404211733583855
put,5.0,0.3167,0.3179,0.3173,0.3183,22,6789,0.054795,20,4.693,0.02,2026-08-26,0.0012,0.0037819098644816,good,5.0,0.3173,0.3094162320571803,0.007883767942819753,2.484641646019462,0.007883767942819753
put,4.9,0.2262,0.2278,0.227,0.2297,30,10810,0.054795,20,4.693,0.02,2026-08-26,0.0015999999999999,0.0070484581497796,good,4.9,0.227,0.2212981363487727,0.005701863651227296,2.511834207589117,0.005701863651227296
put,4.5,0.0235,0.0238,0.0237,0.0239,105,31894,0.054795,20,4.693,0.02,2026-08-26,0.0003,0.0126582278481013,good,4.5,0.0237,0.01805024306052505,0.005649756939474948,23.838636875421724,0.005649756939474948
put,4.4,0.0118,0.012,0.0119,0.012,12,24066,0.054795,20,4.693,0.02,2026-08-26,0.0002,0.0168067226890756,good,4.4,0.0119,0.00627656770507351,0.005623432294926491,47.25573357081084,0.005623432294926491
put,4.3,0.0065,0.0066,0.0066,0.0065,3,22729,0.054795,20,4.693,0.02,2026-08-26,0.0001,0.0151515151515151,good,4.3,0.0066,0.0017362941848021451,0.004863705815197855,73.69251235148265,0.004863705815197855
call,4.7,0.0778,0.078,0.0779,0.0781,19,56960,0.054795,20,4.693,0.02,2026-08-26,0.0002,0.0025673940949936,good,4.7,0.0779,0.08235605460012918,-0.004456054600129183,-5.7202241336703255,0.004456054600129183
call,4.2,0.4924,0.4948,0.4936,0.4958,3,660,0.054795,20,4.693,0.02,2026-08-26,0.0024,0.0048622366288492,good,4.2,0.4936,0.4979717562254118,-0.004371756225411805,-0.8856880521498794,0.004371756225411805
put,4.6,0.0466,0.0467,0.0466,0.0467,36,51177,0.054795,20,4.693,0.02,2026-08-26,9.999999999999593e-05,0.002145922746781,good,4.6,0.0466,0.042483423622292626,0.004116576377707376,8.833854887784067,0.004116576377707376
call,4.8,0.039,0.0393,0.0392,0.0392,30,72254,0.054795,20,4.693,0.02,2026-08-26,0.0003,0.0076530612244898,good,4.8,0.0392,0.04289275168491424,-0.0036927516849142444,-9.420284910495521,0.0036927516849142444
put,4.8,0.1479,0.1486,0.1482,0.148,10,32171,0.054795,20,4.693,0.02,2026-08-26,0.0007,0.00472334682861,good,4.8,0.1482,0.14463531302460897,0.0035646869753910293,2.405321845742935,0.0035646869753910293
call,4.6,0.1369,0.1372,0.1371,0.1375,2,38069,0.054795,20,4.693,0.02,2026-08-26,0.0002999999999999,0.0021881838074397,good,4.6,0.1371,0.1405218023384185,-0.0034218023384184892,-2.495844156395689,0.0034218023384184892
put,4.7,0.0875,0.0877,0.0876,0.0872,20,52673,0.054795,20,4.693,0.02,2026-08-26,0.0002,0.0022831050228311,good,4.7,0.0876,0.08420814591191528,0.0033918540880847198,3.8719795526081278,0.0033918540880847198
put,4.2,0.0032,0.0034,0.0033,0.0032,88,19469,0.054795,20,4.693,0.02,2026-08-26,0.0001999999999999,0.0606060606060605,good,4.2,0.0033,0.0003714973976448842,0.002928502602355116,88.74250310167018,0.002928502602355116
call,4.3,0.3954,0.3983,0.3968,0.3955,476,2061,0.054795,20,4.693,0.02,2026-08-26,0.0029,0.0073084677419355,good,4.3,0.3968,0.39944608298465845,-0.00264608298465846,-0.6668555908917491,0.00264608298465846
call,4.5,0.2136,0.2142,0.2139,0.2139,16,12313,0.054795,20,4.693,0.02,2026-08-26,0.0005999999999999,0.0028050490883589,good,4.5,0.2139,0.2159790918045612,-0.0020790918045612006,-0.9719924284998601,0.0020790918045612006
call,5.25,0.0022,0.0023,0.0023,0.0022,74,33139,0.054795,20,4.693,0.02,2026-08-26,9.999999999999984e-05,0.0434782608695651,good,5.25,0.0023,0.00044611180112452686,0.001853888198875473,80.60383473371621,0.001853888198875473
call,4.4,0.3013,0.3035,0.3024,0.3002,24,4549,0.054795,20,4.693,0.02,2026-08-26,0.0021999999999999,0.0072751322751322,good,4.4,0.3024,0.30409588647702,-0.0016958864770200144,-0.5608090201785763,0.0016958864770200144
call,4.9,0.0179,0.0181,0.018,0.0181,27,60991,0.054795,20,4.693,0.02,2026-08-26,0.0002,0.0111111111111112,good,4.9,0.018,0.01966510498116647,-0.0016651049811664716,-9.25058322870262,0.0016651049811664716
call,5.5,0.0016,0.0017,0.0016,0.0016,62,19470,0.054795,20,4.693,0.02,2026-08-26,9.999999999999984e-05,0.0624999999999998,good,5.5,0.0016,1.111665537097909e-05,0.001588883344629021,99.30520903931381,0.001588883344629021
call,5.75,0.0011,0.0012,0.0011,0.0011,214,10787,0.054795,20,4.693,0.02,2026-08-26,9.999999999999984e-05,0.0909090909090907,good,5.75,0.0011,1.3005132414969345e-07,0.0010998699486758504,99.98817715235003,0.0010998699486758504
call,6.0,0.0007,0.0008,0.0008,0.0007,75,10621,0.054795,20,4.693,0.02,2026-08-26,0.0001,0.125,good,6.0,0.0008,7.701795335712531e-10,0.0007999992298204665,99.9999037275583,0.0007999992298204665
call,5.0,0.0085,0.0086,0.0086,0.0085,10,51221,0.054795,20,4.693,0.02,2026-08-26,9.99999999999994e-05,0.0116279069767441,good,5.0,0.0086,0.007892730661664571,0.0007072693383354291,8.22406207366778,0.0007072693383354291
