type,K,T,T_days,expiry,bid,ask,V_market,volume,open_interest,iv
call,665.0,0.019178082191780823,7,2026-08-13,110.4,113.53,111.965,3,3,0.5897257824707032
call,706.0,0.019178082191780823,7,2026-08-13,69.48,72.71,71.095,1,1,0.49133809448242194
call,710.0,0.019178082191780823,7,2026-08-13,64.7,68.08,66.39,0,1,0.4405573522949219
call,715.0,0.019178082191780823,7,2026-08-13,59.71,63.12,61.415,2,0,0.4163876721191406
call,725.0,0.019178082191780823,7,2026-08-13,49.97,53.19,51.58,3,1,0.36652244812011714
call,729.0,0.019178082191780823,7,2026-08-13,45.76,49.38,47.57,1,1,0.3526676062011719
call,730.0,0.019178082191780823,7,2026-08-13,45.85,48.85,47.35,0,3,0.3651796881103516
call,734.0,0.019178082191780823,7,2026-08-13,41.09,43.96,42.525000000000006,1,2,0.30878376770019533
call,735.0,0.019178082191780823,7,2026-08-13,40.11,43.41,41.76,1,10,0.32080757324218745
call,740.0,0.019178082191780823,7,2026-08-13,37.04,37.71,37.375,1,289,0.266608896484375
call,741.0,0.019178082191780823,7,2026-08-13,34.89,38.06,36.475,21,7,0.3092110095214844
call,742.0,0.019178082191780823,7,2026-08-13,33.92,37.22,35.57,3,27,0.30847859497070307
call,743.0,0.019178082191780823,7,2026-08-13,32.33,35.57,33.95,3,18,0.28125718749999995
call,744.0,0.019178082191780823,7,2026-08-13,31.37,34.78,33.075,30,16,0.28241684387207033
call,745.0,0.019178082191780823,7,2026-08-13,32.22,33.07,32.644999999999996,12,195,0.25263198547363286
call,746.0,0.019178082191780823,7,2026-08-13,29.54,32.69,31.115,9,30,0.26770751831054684
call,747.0,0.019178082191780823,7,2026-08-13,30.62,31.04,30.83,4,254,0.24030300720214842
call,748.0,0.019178082191780823,7,2026-08-13,27.56,30.97,29.265,10,27,0.2645947564697265
call,749.0,0.019178082191780823,7,2026-08-13,27.26,30.34,28.8,2,27,0.26959958923339844
call,750.0,0.019178082191780823,7,2026-08-13,26.3,28.2,27.25,39,354,0.22846230529785155
call,751.0,0.019178082191780823,7,2026-08-13,26.62,27.21,26.915,2,146,0.22296919616699218
call,752.0,0.019178082191780823,7,2026-08-13,25.69,26.28,25.985,77,133,0.21930712341308595
call,753.0,0.019178082191780823,7,2026-08-13,23.81,25.3,24.555,14,159,0.21399711791992188
call,754.0,0.019178082191780823,7,2026-08-13,24.07,24.44,24.255000000000003,30,119,0.21222711608886718
call,755.0,0.019178082191780823,7,2026-08-13,21.09,24.0,22.545,137,637,0.2222367816162109
call,756.0,0.019178082191780823,7,2026-08-13,21.46,21.84,21.65,19,409,0.1819539813232422
call,757.0,0.019178082191780823,7,2026-08-13,20.53,20.94,20.735,1,542,0.1790853576660156
call,758.0,0.019178082191780823,7,2026-08-13,19.69,20.11,19.9,38,514,0.17810880493164064
call,759.0,0.019178082191780823,7,2026-08-13,19.49,19.89,19.689999999999998,78,550,0.1935505450439453
call,760.0,0.019178082191780823,7,2026-08-13,18.84,19.26,19.05,144,465,0.1966633068847656
call,761.0,0.019178082191780823,7,2026-08-13,18.04,18.43,18.235,22,220,0.19422192504882813
call,762.0,0.019178082191780823,7,2026-08-13,16.96,17.33,17.145,2,225,0.18488363952636716
call,763.0,0.019178082191780823,7,2026-08-13,16.37,16.74,16.555,8,184,0.18793536682128903
call,764.0,0.019178082191780823,7,2026-08-13,15.57,15.91,15.74,1,110,0.1848226049804687
call,765.0,0.019178082191780823,7,2026-08-13,14.77,15.13,14.95,8,327,0.18262536132812499
call,766.0,0.019178082191780823,7,2026-08-13,13.96,14.33,14.145,7,149,0.179695703125
call,767.0,0.019178082191780823,7,2026-08-13,13.22,13.57,13.395,2,169,0.17740690765380857
call,768.0,0.019178082191780823,7,2026-08-13,11.76,12.16,11.96,8,790,0.16037826934814453
call,769.0,0.019178082191780823,7,2026-08-13,11.79,12.13,11.96,4,319,0.1736532830810547
