code,name,price,strike,volume,open_interest,type,fetch_date,expiry_date,T
MOCK_call_3.40_30,模拟call_3.40,0.6165,3.4,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.40_30,模拟put_3.40,0.001,3.4,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.45_30,模拟call_3.45,0.561,3.45,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.45_30,模拟put_3.45,0.001,3.45,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.50_30,模拟call_3.50,0.4965,3.5,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.50_30,模拟put_3.50,0.001,3.5,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.55_30,模拟call_3.55,0.4552,3.55,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.55_30,模拟put_3.55,0.001,3.55,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.60_30,模拟call_3.60,0.4007,3.6,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.60_30,模拟put_3.60,0.001,3.6,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.65_30,模拟call_3.65,0.3565,3.65,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.65_30,模拟put_3.65,0.001,3.65,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.70_30,模拟call_3.70,0.3178,3.7,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.70_30,模拟put_3.70,0.002,3.7,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.75_30,模拟call_3.75,0.2522,3.75,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.75_30,模拟put_3.75,0.0042,3.75,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.80_30,模拟call_3.80,0.2191,3.8,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.80_30,模拟put_3.80,0.0086,3.8,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.85_30,模拟call_3.85,0.17,3.85,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.85_30,模拟put_3.85,0.0159,3.85,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.90_30,模拟call_3.90,0.1328,3.9,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.90_30,模拟put_3.90,0.0266,3.9,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_3.95_30,模拟call_3.95,0.098,3.95,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_3.95_30,模拟put_3.95,0.0442,3.95,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.00_30,模拟call_4.00,0.071,4.0,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.00_30,模拟put_4.00,0.0649,4.0,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.05_30,模拟call_4.05,0.0516,4.05,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.05_30,模拟put_4.05,0.0925,4.05,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.10_30,模拟call_4.10,0.0328,4.1,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.10_30,模拟put_4.10,0.1217,4.1,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.15_30,模拟call_4.15,0.0206,4.15,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.15_30,模拟put_4.15,0.1621,4.15,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.20_30,模拟call_4.20,0.0126,4.2,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.20_30,模拟put_4.20,0.2024,4.2,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
MOCK_call_4.25_30,模拟call_4.25,0.007,4.25,10000,5000,call,2026-08-05,2026-09-04,0.0821917808219178
MOCK_put_4.25_30,模拟put_4.25,0.2497,4.25,10000,5000,put,2026-08-05,2026-09-04,0.0821917808219178
