code,name,cp,strike,expire_date,T,price,iv,volume,open_interest,id
模拟_call_4.0_30d,510300近月C4.0,call,4.0,2026-09-05,0.0821917808219178,0.7268,0.1786,5291,45732,1
模拟_call_4.14_30d,510300近月C4.14,call,4.14,2026-09-05,0.0821917808219178,0.5834,0.1901,8422,2685,2
模拟_call_4.29_30d,510300近月C4.29,call,4.29,2026-09-05,0.0821917808219178,0.4289,0.1753,4655,20769,3
模拟_call_4.43_30d,510300近月C4.43,call,4.43,2026-09-05,0.0821917808219178,0.2994,0.1788,2847,1189,4
模拟_call_4.52_30d,510300近月C4.52,call,4.52,2026-09-05,0.0821917808219178,0.2245,0.1811,3990,42606,5
模拟_call_4.62_30d,510300近月C4.62,call,4.62,2026-09-05,0.0821917808219178,0.1545,0.1694,8326,15541,6
模拟_call_4.71_30d,510300近月C4.71,call,4.71,2026-09-05,0.0821917808219178,0.0995,0.1765,3943,41757,7
模拟_call_4.8_30d,510300近月C4.8,call,4.8,2026-09-05,0.0821917808219178,0.062,0.1642,8629,18262,8
模拟_call_4.9_30d,510300近月C4.9,call,4.9,2026-09-05,0.0821917808219178,0.0333,0.1813,2162,49984,9
模拟_call_4.99_30d,510300近月C4.99,call,4.99,2026-09-05,0.0821917808219178,0.0177,0.1769,6378,9392,10
模拟_call_5.13_30d,510300近月C5.13,call,5.13,2026-09-05,0.0821917808219178,0.01,0.1923,2831,11965,11
模拟_call_5.28_30d,510300近月C5.28,call,5.28,2026-09-05,0.0821917808219178,0.01,0.1874,602,7910,12
模拟_call_5.42_30d,510300近月C5.42,call,5.42,2026-09-05,0.0821917808219178,0.01,0.1896,5216,46151,13
模拟_put_4.0_30d,510300近月P4.0,put,4.0,2026-09-05,0.0821917808219178,0.01,0.2014,4526,22962,14
模拟_put_4.14_30d,510300近月P4.14,put,4.14,2026-09-05,0.0821917808219178,0.01,0.1784,7049,3433,15
模拟_put_4.29_30d,510300近月P4.29,put,4.29,2026-09-05,0.0821917808219178,0.01,0.1895,8766,26658,16
模拟_put_4.43_30d,510300近月P4.43,put,4.43,2026-09-05,0.0821917808219178,0.0124,0.1723,1999,2267,17
模拟_put_4.52_30d,510300近月P4.52,put,4.52,2026-09-05,0.0821917808219178,0.0262,0.1895,2712,24483,18
模拟_put_4.62_30d,510300近月P4.62,put,4.62,2026-09-05,0.0821917808219178,0.0527,0.1759,7655,20457,19
模拟_put_4.71_30d,510300近月P4.71,put,4.71,2026-09-05,0.0821917808219178,0.0876,0.1696,1095,33606,20
模拟_put_4.8_30d,510300近月P4.8,put,4.8,2026-09-05,0.0821917808219178,0.1411,0.1906,4959,40099,21
模拟_put_4.9_30d,510300近月P4.9,put,4.9,2026-09-05,0.0821917808219178,0.2155,0.1889,5992,4561,22
模拟_put_4.99_30d,510300近月P4.99,put,4.99,2026-09-05,0.0821917808219178,0.2782,0.191,7315,36222,23
模拟_put_5.13_30d,510300近月P5.13,put,5.13,2026-09-05,0.0821917808219178,0.4137,0.19,8210,14773,24
模拟_put_5.28_30d,510300近月P5.28,put,5.28,2026-09-05,0.0821917808219178,0.5528,0.1833,7135,49702,25
模拟_put_5.42_30d,510300近月P5.42,put,5.42,2026-09-05,0.0821917808219178,0.6875,0.1842,6474,2678,26
模拟_call_4.0_60d,510300次月C4.0,call,4.0,2026-10-05,0.1643835616438356,0.7158,0.1874,3257,23299,27
模拟_call_4.14_60d,510300次月C4.14,call,4.14,2026-10-05,0.1643835616438356,0.5921,0.1897,9821,11230,28
模拟_call_4.29_60d,510300次月C4.29,call,4.29,2026-10-05,0.1643835616438356,0.4474,0.1654,5964,10474,29
模拟_call_4.43_60d,510300次月C4.43,call,4.43,2026-10-05,0.1643835616438356,0.3241,0.1891,763,35766,30
模拟_call_4.52_60d,510300次月C4.52,call,4.52,2026-10-05,0.1643835616438356,0.2594,0.1785,6685,18675,31
模拟_call_4.62_60d,510300次月C4.62,call,4.62,2026-10-05,0.1643835616438356,0.1967,0.2046,954,25548,32
模拟_call_4.71_60d,510300次月C4.71,call,4.71,2026-10-05,0.1643835616438356,0.1473,0.1799,5635,5931,33
模拟_call_4.8_60d,510300次月C4.8,call,4.8,2026-10-05,0.1643835616438356,0.1085,0.166,297,24509,34
