code,name,cp,strike,expire_date,T,price,iv,volume,open_interest,id
模拟_call_4.0_30d,510300近月C4.0,call,4.0,2026-09-05,0.0821917808219178,0.7086,0.1786,5291,45732,1
模拟_call_4.14_30d,510300近月C4.14,call,4.14,2026-09-05,0.0821917808219178,0.5654,0.1901,8422,2685,2
模拟_call_4.28_30d,510300近月C4.28,call,4.28,2026-09-05,0.0821917808219178,0.4212,0.1753,4655,20769,3
模拟_call_4.42_30d,510300近月C4.42,call,4.42,2026-09-05,0.0821917808219178,0.2923,0.1788,2847,1189,4
模拟_call_4.51_30d,510300近月C4.51,call,4.51,2026-09-05,0.0821917808219178,0.218,0.1811,3990,42606,5
模拟_call_4.61_30d,510300近月C4.61,call,4.61,2026-09-05,0.0821917808219178,0.149,0.1694,8326,15541,6
模拟_call_4.7_30d,510300近月C4.7,call,4.7,2026-09-05,0.0821917808219178,0.0953,0.1765,3943,41757,7
模拟_call_4.79_30d,510300近月C4.79,call,4.79,2026-09-05,0.0821917808219178,0.0589,0.1642,8629,18262,8
模拟_call_4.89_30d,510300近月C4.89,call,4.89,2026-09-05,0.0821917808219178,0.0313,0.1813,2162,49984,9
模拟_call_4.98_30d,510300近月C4.98,call,4.98,2026-09-05,0.0821917808219178,0.0165,0.1769,6378,9392,10
模拟_call_5.12_30d,510300近月C5.12,call,5.12,2026-09-05,0.0821917808219178,0.01,0.1923,2831,11965,11
模拟_call_5.26_30d,510300近月C5.26,call,5.26,2026-09-05,0.0821917808219178,0.01,0.1874,602,7910,12
模拟_call_5.4_30d,510300近月C5.4,call,5.4,2026-09-05,0.0821917808219178,0.01,0.1896,5216,46151,13
模拟_put_4.0_30d,510300近月P4.0,put,4.0,2026-09-05,0.0821917808219178,0.01,0.2014,4526,22962,14
模拟_put_4.14_30d,510300近月P4.14,put,4.14,2026-09-05,0.0821917808219178,0.01,0.1784,7049,3433,15
模拟_put_4.28_30d,510300近月P4.28,put,4.28,2026-09-05,0.0821917808219178,0.01,0.1895,8766,26658,16
模拟_put_4.42_30d,510300近月P4.42,put,4.42,2026-09-05,0.0821917808219178,0.0132,0.1723,1999,2267,17
模拟_put_4.51_30d,510300近月P4.51,put,4.51,2026-09-05,0.0821917808219178,0.0276,0.1895,2712,24483,18
模拟_put_4.61_30d,510300近月P4.61,put,4.61,2026-09-05,0.0821917808219178,0.0551,0.1759,7655,20457,19
模拟_put_4.7_30d,510300近月P4.7,put,4.7,2026-09-05,0.0821917808219178,0.0911,0.1696,1095,33606,20
模拟_put_4.79_30d,510300近月P4.79,put,4.79,2026-09-05,0.0821917808219178,0.1459,0.1906,4959,40099,21
模拟_put_4.89_30d,510300近月P4.89,put,4.89,2026-09-05,0.0821917808219178,0.2215,0.1889,5992,4561,22
模拟_put_4.98_30d,510300近月P4.98,put,4.98,2026-09-05,0.0821917808219178,0.2847,0.191,7315,36222,23
模拟_put_5.12_30d,510300近月P5.12,put,5.12,2026-09-05,0.0821917808219178,0.4212,0.19,8210,14773,24
模拟_put_5.26_30d,510300近月P5.26,put,5.26,2026-09-05,0.0821917808219178,0.5509,0.1833,7135,49702,25
模拟_put_5.4_30d,510300近月P5.4,put,5.4,2026-09-05,0.0821917808219178,0.6855,0.1842,6474,2678,26
模拟_call_4.0_60d,510300次月C4.0,call,4.0,2026-10-05,0.1643835616438356,0.6983,0.1874,3257,23299,27
模拟_call_4.14_60d,510300次月C4.14,call,4.14,2026-10-05,0.1643835616438356,0.5747,0.1897,9821,11230,28
模拟_call_4.28_60d,510300次月C4.28,call,4.28,2026-10-05,0.1643835616438356,0.44,0.1654,5964,10474,29
模拟_call_4.42_60d,510300次月C4.42,call,4.42,2026-10-05,0.1643835616438356,0.3174,0.1891,763,35766,30
模拟_call_4.51_60d,510300次月C4.51,call,4.51,2026-10-05,0.1643835616438356,0.2533,0.1785,6685,18675,31
模拟_call_4.61_60d,510300次月C4.61,call,4.61,2026-10-05,0.1643835616438356,0.1914,0.2046,954,25548,32
模拟_call_4.7_60d,510300次月C4.7,call,4.7,2026-10-05,0.1643835616438356,0.1428,0.1799,5635,5931,33
模拟_call_4.79_60d,510300次月C4.79,call,4.79,2026-10-05,0.1643835616438356,0.1046,0.166,297,24509,34
模拟_call_4.89_60d,510300次月C4.89,call,4.89,2026-10-05,0.1643835616438356,0.0663,0.1743,759,3811,35
模拟_call_4.98_60d,510300次月C4.98,call,4.98,2026-10-05,0.1643835616438356,0.0457,0.1709,5859,24078,36
模拟_call_5.12_60d,510300次月C5.12,call,5.12,2026-10-05,0.1643835616438356,0.0221,0.1874,6387,32065,37
模拟_call_5.26_60d,510300次月C5.26,call,5.26,2026-10-05,0.1643835616438356,0.0104,0.1878,7500,43642,38
模拟_call_5.4_60d,510300次月C5.4,call,5.4,2026-10-05,0.1643835616438356,0.01,0.191,8545,49354,39
模拟_put_4.0_60d,510300次月P4.0,put,4.0,2026-10-05,0.1643835616438356,0.01,0.1833,3727,26939,40
模拟_put_4.14_60d,510300次月P4.14,put,4.14,2026-10-05,0.1643835616438356,0.01,0.1867,7492,31080,41
模拟_put_4.28_60d,510300次月P4.28,put,4.28,2026-10-05,0.1643835616438356,0.0145,0.1777,4513,4748,42
模拟_put_4.42_60d,510300次月P4.42,put,4.42,2026-10-05,0.1643835616438356,0.0347,0.1743,1595,4304,43
模拟_put_4.51_60d,510300次月P4.51,put,4.51,2026-10-05,0.1643835616438356,0.0569,0.1633,7380,2636,44
模拟_put_4.61_60d,510300次月P4.61,put,4.61,2026-10-05,0.1643835616438356,0.0932,0.1657,5349,22556,45
模拟_put_4.7_60d,510300次月P4.7,put,4.7,2026-10-05,0.1643835616438356,0.1308,0.1731,9058,38157,46
模拟_put_4.79_60d,510300次月P4.79,put,4.79,2026-10-05,0.1643835616438356,0.1779,0.1808,8900,28848,47
模拟_put_4.89_60d,510300次月P4.89,put,4.89,2026-10-05,0.1643835616438356,0.239,0.1807,3011,2734,48
模拟_put_4.98_60d,510300次月P4.98,put,4.98,2026-10-05,0.1643835616438356,0.3089,0.1768,5634,21445,49
模拟_put_5.12_60d,510300次月P5.12,put,5.12,2026-10-05,0.1643835616438356,0.4308,0.1838,2149,32616,50
模拟_put_5.26_60d,510300次月P5.26,put,5.26,2026-10-05,0.1643835616438356,0.5639,0.183,6395,13183,51
模拟_put_5.4_60d,510300次月P5.4,put,5.4,2026-10-05,0.1643835616438356,0.6995,0.1784,2300,47940,52
模拟_call_4.0_90d,510300远月C4.0,call,4.0,2026-11-04,0.2465753424657534,0.7054,0.1691,2969,47760,53
模拟_call_4.14_90d,510300远月C4.14,call,4.14,2026-11-04,0.2465753424657534,0.5981,0.1896,4835,45064,54
模拟_call_4.28_90d,510300远月C4.28,call,4.28,2026-11-04,0.2465753424657534,0.4721,0.1776,3454,31746,55
模拟_call_4.42_90d,510300远月C4.42,call,4.42,2026-11-04,0.2465753424657534,0.3492,0.185,9107,46714,56
模拟_call_4.51_90d,510300远月C4.51,call,4.51,2026-11-04,0.2465753424657534,0.2876,0.1819,1169,37212,57
模拟_call_4.61_90d,510300远月C4.61,call,4.61,2026-11-04,0.2465753424657534,0.2275,0.1606,706,1699,58
