period,mode,alpha,sigma,alpha_market,alpha_err,mse,improvement_pct,n_buy,n_sell,signal_strength,avg_buy_dev,avg_sell_dev
0,ET(旧),0.789081,0.17232,0.8770541971677668,0.08797319716776675,2.011e-05,71.415,9,9,18,5.31142094468817,-6.814430637912567
0,G-H,0.80549,0.177902,0.8770541971677668,0.07156419716776674,2.479e-05,64.762,9,11,20,7.640628984434629,-5.180295092260877
0,Smile,0.810815,0.179001,0.8770541971677668,0.06623919716776683,2.406e-05,65.808,12,9,21,4.508216997374061,-8.104035734460766
1,ET(旧),0.780035,0.191932,0.8683871256492353,0.08835212564923522,2.762e-05,69.976,30,29,59,7.054882652038002,-8.176893133377108
1,G-H,0.795537,0.198327,0.8683871256492353,0.07285012564923521,3.01e-05,67.283,29,29,58,9.037440361385507,-7.0791429787285605
1,Smile,0.79731,0.198747,0.8683871256492353,0.0710771256492353,2.994e-05,67.461,32,28,60,6.795871111714982,-8.661128507340555
2,ET(旧),0.765147,0.169998,0.8581235772120092,0.09297657721200914,3.736e-05,63.397,17,19,36,6.859394368070803,-6.010991558492414
2,G-H,0.7883,0.176876,0.8581235772120092,0.06982357721200916,4.464e-05,56.266,15,23,38,9.806834109178192,-4.63175960503969
2,Smile,0.803519,0.179972,0.8581235772120092,0.054604577212009175,3.876e-05,62.031,17,17,34,7.072122282287786,-7.779864482702724
3,ET(旧),0.897558,0.170786,0.9390257248347897,0.041467724834789776,2.278e-05,29.905,8,12,20,30.116668720535248,-31.636019144537016
3,G-H,0.899479,0.17252,0.9390257248347897,0.039546724834789715,2.27e-05,30.179,8,12,20,30.182059630125156,-31.45379437580384
3,Smile,0.904294,0.173249,0.9390257248347897,0.0347317248347897,2.256e-05,30.589,7,12,19,28.91425960766413,-31.65233248207653
4,ET(旧),0.797841,0.173339,0.8822355594712505,0.08439455947125052,3.155e-05,57.922,28,29,57,18.04726233340261,-17.289889623198576
4,G-H,0.810769,0.178275,0.8822355594712505,0.07146655947125058,3.439e-05,54.127,28,29,57,18.941886790105794,-16.01835693565807
4,Smile,0.827275,0.181602,0.8822355594712505,0.05496055947125056,2.907e-05,61.23,29,29,58,18.113338440212686,-16.51037159343128
5,ET(旧),0.812332,0.184818,0.9044652913294684,0.09213329132946835,2.072e-05,65.566,29,29,58,21.47361203168736,-19.500629408999085
5,G-H,0.822853,0.189562,0.9044652913294684,0.08161229132946846,2.221e-05,63.099,29,29,58,22.34581724954168,-18.259175318553705
5,Smile,0.829466,0.190995,0.9044652913294684,0.07499929132946836,2.122e-05,64.74,29,29,58,20.92248334279772,-19.210112957371248
6,ET(旧),0.88048,0.172745,0.9352600546145662,0.05478005461456614,1.993e-05,40.522,21,28,49,22.69942044155409,-23.53871444361361
6,G-H,0.87679,0.173891,0.9352600546145662,0.058470054614566225,1.815e-05,45.827,20,28,48,22.188876501691833,-22.790203485288703
6,Smile,0.879144,0.174212,0.9352600546145662,0.056116054614566147,1.81e-05,46.0,21,28,49,22.698073451336686,-23.382494779358314
7,ET(旧),0.830512,0.183221,0.9446291600896322,0.11411716008963213,1.781e-05,64.245,7,6,13,5.0668771887407695,-7.658968413424065
7,G-H,0.83529,0.186695,0.9446291600896322,0.10933916008963218,1.747e-05,64.926,9,7,16,6.506574305508459,-5.305738862888352
7,Smile,0.840087,0.187714,0.9446291600896322,0.10454216008963213,1.7e-05,65.884,5,9,14,5.4173124717380325,-6.479887623394967
8,ET(旧),0.794453,0.201873,0.860977222802502,0.06652422280250203,2.204e-05,70.475,12,22,34,29.309978779806155,-29.452309173546247
8,G-H,0.805917,0.207667,0.860977222802502,0.055060222802502,2.33e-05,68.799,12,25,37,29.524779936888137,-29.42251132058669
8,Smile,0.806009,0.207673,0.860977222802502,0.05496822280250202,2.33e-05,68.797,12,23,35,29.624295897307643,-29.775720402480054
9,ET(旧),0.837637,0.173937,0.9002927153309046,0.06265571533090464,2.531e-05,50.197,28,27,55,21.920632835722518,-19.63795408689873
9,G-H,0.852824,0.178777,0.9002927153309046,0.047468715330904576,2.769e-05,45.51,28,27,55,22.533037242421752,-18.65368282447242
9,Smile,0.860991,0.180442,0.9002927153309046,0.03930171533090465,2.612e-05,48.608,28,27,55,21.465178550663747,-19.320415112831856
10,ET(旧),0.822502,0.173293,0.882439377213343,0.059937377213343024,1.664e-05,65.125,22,26,48,26.213841039574913,-24.242726676343942
10,G-H,0.833842,0.177656,0.882439377213343,0.04859737721334301,1.927e-05,59.611,21,26,47,25.939181595776724,-23.209333444522
10,Smile,0.84179,0.179275,0.882439377213343,0.04064937721334294,1.815e-05,61.967,22,26,48,26.21773882689287,-23.950304933916055
11,ET(旧),0.798172,0.18077,0.8498400096272073,0.0516680096272073,2.9e-05,62.106,9,11,20,5.773191782741321,-6.3547108272241
11,G-H,0.813987,0.18646,0.8498400096272073,0.03585300962720728,3.294e-05,56.959,12,10,22,6.979754271005533,-5.4943788121155475
